#	unit	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	1	2	3	4	5	6	7	8	9	10
30_39	3bp	0.001	0.001	0.001	0.001	0.001	0.0001	0.001	0.0002	0.0008	0.0154	0.0007	0.0001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
30_39	2bp	0.001	0.001	0.001	0.001	0.0002	0.0004	0.0006	0.0025	0.0138	0.0669	0.0215	0.0042	0.001	0.0003	0.0001	0.001	0.0001	0.001	0.001	0.001
30_39	1bp	0.001	0.001	0.001	0.001	0.0002	0.0004	0.0006	0.0025	0.0138	0.0669	0.0215	0.0042	0.001	0.0003	0.0001	0.001	0.0001	0.001	0.001	0.001
30_39	5bp	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0001	0.0014	0.0002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
40_100	6bp	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0007	0.0022	0.0004	0.0001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
40_100	A/T	0.001	0.001	0.001	0.0001	0.0001	0.002	0.0002	0.0009	0.0052	0.0319	0.023	0.0031	0.0006	0.0002	0.0002	0.001	0.001	0.0001	0.001	0.001
40_100	4bp	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0003	0.0018	0.0134	0.0031	0.0007	0.0003	0.001	0.001	0.001	0.001	0.001	0.001	0.001
40_100	3bp	0.0001	0.001	0.001	0.001	0.001	0.001	0.0001	0.001	0.0014	0.0208	0.0024	0.0001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
40_100	2bp	0.001	0.001	0.0001	0.0001	0.0001	0.0002	0.0006	0.0029	0.0151	0.0876	0.0193	0.003	0.0006	0.0002	0.001	0.001	0.001	0.001	0.001	0.001
40_100	1bp	0.001	0.001	0.0001	0.0001	0.0001	0.0002	0.0006	0.0029	0.0151	0.0876	0.0193	0.003	0.0006	0.0002	0.001	0.001	0.001	0.001	0.001	0.001
40_100	5bp	0.001	0.001	0.001	0.001	0.001	0.001	0.0001	0.0001	0.0001	0.0033	0.0007	0.001	0.0003	0.001	0.001	0.001	0.001	0.001	0.001	0.001
